Date,NewsIndex
2019-09-11,0.19364881355932204
2019-09-06,0.017132500000000002
2019-09-04,0.18552410810810813
2019-09-04,-0.16486977917981072
2019-08-24,0.19670316455696205
2019-08-19,0.15646632443531827
2019-08-09,0.19038368421052632
2019-07-30,0.1813817735334243
2019-07-25,0.19246921875
2019-07-25,0.19246921875
2019-07-10,-0.1241987951807229
2019-07-05,0.1832820523138833
2019-07-05,0.18492024048096192
2019-07-01,0.19166227272727274
2019-06-30,0.1877544827586207
2019-06-30,0.13539317829457365
2019-06-29,0.13543046153846153
2019-06-11,0.19750646840148697
2019-05-21,0.1820822033898305
2019-05-20,0.15719671641791044
2019-05-20,0.11401
2019-05-09,0.1942532441471572
2019-04-30,0.19069625
2019-04-29,0.19437679083094556
2019-04-27,0.19103333333333333
2019-04-18,0.19609913043478264
2019-04-08,0.1874768316831683
2019-04-01,0.18917274390243902
2019-03-27,-0.17838152727272727
2019-03-22,0.18546351851851853
2019-03-12,0.1923145945945946
2019-03-08,0.1721572093023256
2019-03-04,0.1888309090909091
2019-03-01,0.16963521276595744
2019-03-01,0.18487327731092437
2019-02-08,0.19276721951219514
2019-02-08,0.08769771428571428
2019-02-08,0.18486830769230767
2019-02-07,-0.14335166666666663
2019-02-06,-0.16346213991769545
2019-02-05,0.0008047533632286995
2019-01-30,0.1982577625570776
2019-01-24,0.06818827586206896
2019-01-16,0.15189499999999997
2019-01-11,0.1462640091116173
2019-01-11,0.18342105540897097
2019-01-10,0.173748875
2019-01-10,0.05809399999999999
2019-01-10,0.1620232061068702
2019-01-10,0.17990727272727272
2019-01-08,0.18794926829268294
2018-12-07,0.19695852348993287
2018-12-05,0.1477907462686567
2018-12-04,-0.17157546218487396
2018-11-30,0.16327531707317075
2018-10-31,0.19265170731707315
2018-10-23,0.10103599999999999
2018-10-17,0.06229149532710281
2018-10-09,0.16034387755102042
2018-10-09,-0.16832627906976744
2018-10-08,-0.1278898305084746
2018-10-04,-0.09501545454545454
2018-09-17,-0.06281637717121588
